NAME	a
ITEM	tylenol
ITEM	vitamins
BUILDING	toy_store
ITEM	action_figures
ITEM	blocks
ITEM	board_game
ITEM	checkers
ITEM	doll
ITEM	dollhouse
ITEM	hula_hoop
ITEM	karaoke_machine
ITEM	legos
ITEM	puppets
ITEM	sled
ITEM	slinkie
ITEM	stuffed_animal
ITEM	swing_set
ITEM	train_set
ITEM	video_games
ITEM	water_gun
ITEM	yoyo
